Pop_Count,SIM,Year,variant
4679,0,2016,Low
4618,0,2017,Low
4583,0,2018,Low
4538,0,2019,Low
4501,0,2020,Low
4466,0,2021,Low
4430,0,2022,Low
4400,0,2023,Low
4388,0,2024,Low
4365,0,2025,Low
4329,0,2026,Low
4318,0,2027,Low
4283,0,2028,Low
4247,0,2029,Low
4203,0,2030,Low
4165,0,2031,Low
4120,0,2032,Low
4089,0,2033,Low
4055,0,2034,Low
4002,0,2035,Low
3947,0,2036,Low
4679,1,2016,Low
4631,1,2017,Low
4606,1,2018,Low
4569,1,2019,Low
4546,1,2020,Low
4500,1,2021,Low
4466,1,2022,Low
4436,1,2023,Low
4407,1,2024,Low
4378,1,2025,Low
4347,1,2026,Low
4308,1,2027,Low
4279,1,2028,Low
4249,1,2029,Low
4227,1,2030,Low
4209,1,2031,Low
4185,1,2032,Low
4154,1,2033,Low
4120,1,2034,Low
4095,1,2035,Low
4078,1,2036,Low
4679,2,2016,Low
4615,2,2017,Low
4581,2,2018,Low
4545,2,2019,Low
4512,2,2020,Low
4471,2,2021,Low
4434,2,2022,Low
4400,2,2023,Low
4380,2,2024,Low
4351,2,2025,Low
4331,2,2026,Low
4301,2,2027,Low
4271,2,2028,Low
4247,2,2029,Low
4218,2,2030,Low
4197,2,2031,Low
4178,2,2032,Low
4164,2,2033,Low
4141,2,2034,Low
4096,2,2035,Low
4082,2,2036,Low
4679,3,2016,Low
4620,3,2017,Low
4580,3,2018,Low
4551,3,2019,Low
4507,3,2020,Low
4477,3,2021,Low
4455,3,2022,Low
4425,3,2023,Low
4397,3,2024,Low
4368,3,2025,Low
4335,3,2026,Low
4299,3,2027,Low
4258,3,2028,Low
4228,3,2029,Low
4189,3,2030,Low
4145,3,2031,Low
4117,3,2032,Low
4109,3,2033,Low
4078,3,2034,Low
4058,3,2035,Low
4041,3,2036,Low
4679,4,2016,Low
4616,4,2017,Low
4591,4,2018,Low
4561,4,2019,Low
4524,4,2020,Low
4492,4,2021,Low
4459,4,2022,Low
4431,4,2023,Low
4411,4,2024,Low
4397,4,2025,Low
4380,4,2026,Low
4350,4,2027,Low
4318,4,2028,Low
4294,4,2029,Low
4272,4,2030,Low
4239,4,2031,Low
4222,4,2032,Low
