Age,Gender,Pop_Count_Projection,SIM,Year,Pop_Count_Reference,index_col
0,Female,21,0,2016,21,Female0
1,Female,25,0,2016,25,Female1
2,Female,14,0,2016,14,Female2
3,Female,29,0,2016,29,Female3
4,Female,19,0,2016,19,Female4
5,Female,18,0,2016,18,Female5
6,Female,25,0,2016,25,Female6
7,Female,29,0,2016,29,Female7
8,Female,16,0,2016,16,Female8
9,Female,29,0,2016,29,Female9
10,Female,30,0,2016,30,Female10
11,Female,20,0,2016,20,Female11
12,Female,25,0,2016,25,Female12
13,Female,27,0,2016,27,Female13
14,Female,17,0,2016,17,Female14
15,Female,35,0,2016,35,Female15
16,Female,12,0,2016,12,Female16
17,Female,20,0,2016,20,Female17
18,Female,20,0,2016,20,Female18
19,Female,16,0,2016,16,Female19
20,Female,20,0,2016,20,Female20
21,Female,14,0,2016,14,Female21
22,Female,16,0,2016,16,Female22
23,Female,20,0,2016,20,Female23
24,Female,17,0,2016,17,Female24
25,Female,18,0,2016,18,Female25
26,Female,14,0,2016,14,Female26
27,Female,31,0,2016,31,Female27
28,Female,26,0,2016,26,Female28
29,Female,15,0,2016,15,Female29
30,Female,20,0,2016,20,Female30
31,Female,16,0,2016,16,Female31
32,Female,19,0,2016,19,Female32
33,Female,22,0,2016,22,Female33
34,Female,22,0,2016,22,Female34
35,Female,31,0,2016,31,Female35
36,Female,27,0,2016,27,Female36
37,Female,33,0,2016,33,Female37
38,Female,21,0,2016,21,Female38
39,Female,29,0,2016,29,Female39
40,Female,32,0,2016,32,Female40
41,Female,25,0,2016,25,Female41
42,Female,28,0,2016,28,Female42
43,Female,37,0,2016,37,Female43
44,Female,20,0,2016,20,Female44
45,Female,27,0,2016,27,Female45
46,Female,32,0,2016,32,Female46
47,Female,32,0,2016,32,Female47
48,Female,56,0,2016,56,Female48
49,Female,37,0,2016,37,Female49
50,Female,54,0,2016,54,Female50
51,Female,36,0,2016,36,Female51
52,Female,29,0,2016,29,Female52
53,Female,39,0,2016,39,Female53
54,Female,35,0,2016,35,Female54
55,Female,28,0,2016,28,Female55
56,Female,42,0,2016,42,Female56
57,Female,49,0,2016,49,Female57
58,Female,31,0,2016,31,Female58
59,Female,38,0,2016,38,Female59
60,Female,31,0,2016,31,Female60
61,Female,36,0,2016,36,Female61
62,Female,29,0,2016,29,Female62
63,Female,44,0,2016,44,Female63
64,Female,43,0,2016,43,Female64
65,Female,40,0,2016,40,Female65
66,Female,42,0,2016,42,Female66
67,Female,36,0,2016,36,Female67
68,Female,30,0,2016,30,Female68
69,Female,38,0,2016,38,Female69
70,Female,35,0,2016,35,Female70
71,Female,23,0,2016,23,Female71
72,Female,32,0,2016,32,Female72
73,Female,30,0,2016,30,Female73
74,Female,13,0,2016,13,Female74
75,Female,29,0,2016,29,Female75
76,Female,22,0,2016,22,Female76
