Age,Gender,uist_Population,SIM,Year,uist_Reference,index_col,scot_Reference,scot_Population
0,Female,21.0,0,2016,21,Female0,26819,26819
1,Female,25.0,0,2016,25,Female1,27567,27567
2,Female,14.0,0,2016,14,Female2,27788,27788
3,Female,29.0,0,2016,29,Female3,28504,28504
4,Female,19.0,0,2016,19,Female4,29033,29033
5,Female,18.0,0,2016,18,Female5,30162,30162
6,Female,25.0,0,2016,25,Female6,28855,28855
7,Female,29.0,0,2016,29,Female7,29683,29683
8,Female,16.0,0,2016,16,Female8,29598,29598
9,Female,29.0,0,2016,29,Female9,28272,28272
10,Female,30.0,0,2016,30,Female10,27796,27796
11,Female,20.0,0,2016,20,Female11,27257,27257
12,Female,25.0,0,2016,25,Female12,26739,26739
13,Female,27.0,0,2016,27,Female13,26167,26167
14,Female,17.0,0,2016,17,Female14,26038,26038
15,Female,35.0,0,2016,35,Female15,27243,27243
16,Female,12.0,0,2016,12,Female16,27563,27563
17,Female,20.0,0,2016,20,Female17,28702,28702
18,Female,20.0,0,2016,20,Female18,29789,29789
19,Female,16.0,0,2016,16,Female19,32749,32749
20,Female,20.0,0,2016,20,Female20,33871,33871
21,Female,14.0,0,2016,14,Female21,34923,34923
22,Female,16.0,0,2016,16,Female22,36314,36314
23,Female,20.0,0,2016,20,Female23,37631,37631
24,Female,17.0,0,2016,17,Female24,39540,39540
25,Female,18.0,0,2016,18,Female25,38982,38982
26,Female,14.0,0,2016,14,Female26,37498,37498
27,Female,31.0,0,2016,31,Female27,37318,37318
28,Female,26.0,0,2016,26,Female28,37556,37556
29,Female,15.0,0,2016,15,Female29,36621,36621
30,Female,20.0,0,2016,20,Female30,36099,36099
31,Female,16.0,0,2016,16,Female31,36312,36312
32,Female,19.0,0,2016,19,Female32,35089,35089
33,Female,22.0,0,2016,22,Female33,35723,35723
34,Female,22.0,0,2016,22,Female34,36385,36385
35,Female,31.0,0,2016,31,Female35,35753,35753
36,Female,27.0,0,2016,27,Female36,34995,34995
37,Female,33.0,0,2016,33,Female37,33471,33471
38,Female,21.0,0,2016,21,Female38,31663,31663
39,Female,29.0,0,2016,29,Female39,30603,30603
40,Female,32.0,0,2016,32,Female40,32622,32622
41,Female,25.0,0,2016,25,Female41,33160,33160
42,Female,28.0,0,2016,28,Female42,33272,33272
43,Female,37.0,0,2016,37,Female43,35532,35532
44,Female,20.0,0,2016,20,Female44,38123,38123
45,Female,27.0,0,2016,27,Female45,39905,39905
46,Female,32.0,0,2016,32,Female46,39222,39222
47,Female,32.0,0,2016,32,Female47,40801,40801
48,Female,56.0,0,2016,56,Female48,41543,41543
49,Female,37.0,0,2016,37,Female49,41358,41358
50,Female,54.0,0,2016,54,Female50,41391,41391
51,Female,36.0,0,2016,36,Female51,42646,42646
52,Female,29.0,0,2016,29,Female52,42441,42441
53,Female,39.0,0,2016,39,Female53,42060,42060
54,Female,35.0,0,2016,35,Female54,40724,40724
55,Female,28.0,0,2016,28,Female55,39939,39939
56,Female,42.0,0,2016,42,Female56,38427,38427
57,Female,49.0,0,2016,49,Female57,38397,38397
58,Female,31.0,0,2016,31,Female58,37263,37263
59,Female,38.0,0,2016,38,Female59,36058,36058
60,Female,31.0,0,2016,31,Female60,34941,34941
61,Female,36.0,0,2016,36,Female61,33606,33606
62,Female,29.0,0,2016,29,Female62,33002,33002
63,Female,44.0,0,2016,44,Female63,32395,32395
64,Female,43.0,0,2016,43,Female64,31202,31202
65,Female,40.0,0,2016,40,Female65,31507,31507
66,Female,42.0,0,2016,42,Female66,31414,31414
67,Female,36.0,0,2016,36,Female67,32127,32127
68,Female,30.0,0,2016,30,Female68,33103,33103
69,Female,38.0,0,2016,38,Female69,35906,35906
70,Female,35.0,0,2016,35,Female70,26974,26974
71,Female,23.0,0,2016,23,Female71,25687,25687
72,Female,32.0,0,2016,32,Female72,25970,25970
73,Female,30.0,0,2016,30,Female73,25265,25265
74,Female,13.0,0,2016,13,Female74,23254,23254
75,Female,29.0,0,2016,29,Female75,21636,21636
76,Female,22.0,0,2016,22,Female76,21833,21833
77,Female,23.0,0,2016,23,Female77,21118,21118
78,Female,27.0,0,2016,27,Female78,20348,20348
79,Female,20.0,0,2016,20,Female79,19396,19396
80,Female,14.0,0,2016,14,Female80,18453,18453
81,Female,14.0,0,2016,14,Female81,17214,17214
82,Female,14.0,0,2016,14,Female82,15965,15965
83,Female,23.0,0,2016,23,Female83,14544,14544
84,Female,15.0,0,2016,15,Female84,14041,14041
85,Female,13.0,0,2016,13,Female85,12678,12678
86,Female,11.0,0,2016,11,Female86,11277,11277
87,Female,9.0,0,2016,9,Female87,9897,9897
88,Female,14.0,0,2016,14,Female88,8421,8421
89,Female,3.0,0,2016,3,Female89,7418,7418
90+,Female,39.0,0,2016,39,Female90+,29050,29050
0,Male,24.0,0,2016,24,Male0,28697,28697
1,Male,13.0,0,2016,13,Male1,29017,29017
2,Male,22.0,0,2016,22,Male2,29377,29377
3,Male,16.0,0,2016,16,Male3,29728,29728
4,Male,19.0,0,2016,19,Male4,30708,30708
5,Male,25.0,0,2016,25,Male5,31533,31533
6,Male,37.0,0,2016,37,Male6,29946,29946
7,Male,23.0,0,2016,23,Male7,30653,30653
8,Male,26.0,0,2016,26,Male8,30586,30586
9,Male,30.0,0,2016,30,Male9,29574,29574
10,Male,34.0,0,2016,34,Male10,28838,28838
11,Male,27.0,0,2016,27,Male11,28885,28885
12,Male,30.0,0,2016,30,Male12,28344,28344
13,Male,24.0,0,2016,24,Male13,27231,27231
14,Male,19.0,0,2016,19,Male14,27083,27083
15,Male,23.0,0,2016,23,Male15,28196,28196
16,Male,18.0,0,2016,18,Male16,29300,29300
17,Male,33.0,0,2016,33,Male17,30279,30279
18,Male,27.0,0,2016,27,Male18,31162,31162
19,Male,17.0,0,2016,17,Male19,33677,33677
20,Male,24.0,0,2016,24,Male20,34653,34653
21,Male,29.0,0,2016,29,Male21,35175,35175
22,Male,22.0,0,2016,22,Male22,36261,36261
23,Male,12.0,0,2016,12,Male23,36791,36791
