Year,Age,Gender,Pop_Count_Projection,SIM,Pop_Count_Reference,index_col
2016,0,Female,21.0,0,21,Female0
2016,1,Female,25.0,0,25,Female1
2016,2,Female,14.0,0,14,Female2
2016,3,Female,29.0,0,29,Female3
2016,4,Female,19.0,0,19,Female4
2016,5,Female,18.0,0,18,Female5
2016,6,Female,25.0,0,25,Female6
2016,7,Female,29.0,0,29,Female7
2016,8,Female,16.0,0,16,Female8
2016,9,Female,29.0,0,29,Female9
2016,10,Female,30.0,0,30,Female10
2016,11,Female,20.0,0,20,Female11
2016,12,Female,25.0,0,25,Female12
2016,13,Female,27.0,0,27,Female13
2016,14,Female,17.0,0,17,Female14
2016,15,Female,35.0,0,35,Female15
2016,16,Female,12.0,0,12,Female16
2016,17,Female,20.0,0,20,Female17
2016,18,Female,20.0,0,20,Female18
2016,19,Female,16.0,0,16,Female19
2016,20,Female,20.0,0,20,Female20
2016,21,Female,14.0,0,14,Female21
2016,22,Female,16.0,0,16,Female22
2016,23,Female,20.0,0,20,Female23
2016,24,Female,17.0,0,17,Female24
2016,25,Female,18.0,0,18,Female25
2016,26,Female,14.0,0,14,Female26
2016,27,Female,31.0,0,31,Female27
2016,28,Female,26.0,0,26,Female28
2016,29,Female,15.0,0,15,Female29
2016,30,Female,20.0,0,20,Female30
2016,31,Female,16.0,0,16,Female31
2016,32,Female,19.0,0,19,Female32
2016,33,Female,22.0,0,22,Female33
2016,34,Female,22.0,0,22,Female34
2016,35,Female,31.0,0,31,Female35
2016,36,Female,27.0,0,27,Female36
2016,37,Female,33.0,0,33,Female37
2016,38,Female,21.0,0,21,Female38
2016,39,Female,29.0,0,29,Female39
2016,40,Female,32.0,0,32,Female40
2016,41,Female,25.0,0,25,Female41
2016,42,Female,28.0,0,28,Female42
2016,43,Female,37.0,0,37,Female43
2016,44,Female,20.0,0,20,Female44
2016,45,Female,27.0,0,27,Female45
2016,46,Female,32.0,0,32,Female46
2016,47,Female,32.0,0,32,Female47
2016,48,Female,56.0,0,56,Female48
2016,49,Female,37.0,0,37,Female49
2016,50,Female,54.0,0,54,Female50
2016,51,Female,36.0,0,36,Female51
2016,52,Female,29.0,0,29,Female52
2016,53,Female,39.0,0,39,Female53
2016,54,Female,35.0,0,35,Female54
2016,55,Female,28.0,0,28,Female55
2016,56,Female,42.0,0,42,Female56
2016,57,Female,49.0,0,49,Female57
2016,58,Female,31.0,0,31,Female58
2016,59,Female,38.0,0,38,Female59
2016,60,Female,31.0,0,31,Female60
2016,61,Female,36.0,0,36,Female61
2016,62,Female,29.0,0,29,Female62
