Age,Gender,Reference,Year,Population
0,Female,26819,2016,26819
1,Female,27567,2016,27567
2,Female,27788,2016,27788
3,Female,28504,2016,28504
4,Female,29033,2016,29033
5,Female,30162,2016,30162
6,Female,28855,2016,28855
7,Female,29683,2016,29683
8,Female,29598,2016,29598
9,Female,28272,2016,28272
10,Female,27796,2016,27796
11,Female,27257,2016,27257
12,Female,26739,2016,26739
13,Female,26167,2016,26167
14,Female,26038,2016,26038
15,Female,27243,2016,27243
16,Female,27563,2016,27563
17,Female,28702,2016,28702
18,Female,29789,2016,29789
19,Female,32749,2016,32749
20,Female,33871,2016,33871
21,Female,34923,2016,34923
22,Female,36314,2016,36314
23,Female,37631,2016,37631
24,Female,39540,2016,39540
25,Female,38982,2016,38982
26,Female,37498,2016,37498
27,Female,37318,2016,37318
28,Female,37556,2016,37556
29,Female,36621,2016,36621
30,Female,36099,2016,36099
31,Female,36312,2016,36312
32,Female,35089,2016,35089
33,Female,35723,2016,35723
34,Female,36385,2016,36385
35,Female,35753,2016,35753
36,Female,34995,2016,34995
37,Female,33471,2016,33471
38,Female,31663,2016,31663
39,Female,30603,2016,30603
40,Female,32622,2016,32622
41,Female,33160,2016,33160
42,Female,33272,2016,33272
43,Female,35532,2016,35532
44,Female,38123,2016,38123
45,Female,39905,2016,39905
46,Female,39222,2016,39222
47,Female,40801,2016,40801
48,Female,41543,2016,41543
49,Female,41358,2016,41358
50,Female,41391,2016,41391
51,Female,42646,2016,42646
52,Female,42441,2016,42441
53,Female,42060,2016,42060
54,Female,40724,2016,40724
55,Female,39939,2016,39939
56,Female,38427,2016,38427
57,Female,38397,2016,38397
58,Female,37263,2016,37263
59,Female,36058,2016,36058
60,Female,34941,2016,34941
61,Female,33606,2016,33606
62,Female,33002,2016,33002
63,Female,32395,2016,32395
64,Female,31202,2016,31202
65,Female,31507,2016,31507
66,Female,31414,2016,31414
67,Female,32127,2016,32127
68,Female,33103,2016,33103
69,Female,35906,2016,35906
70,Female,26974,2016,26974
71,Female,25687,2016,25687
72,Female,25970,2016,25970
73,Female,25265,2016,25265
74,Female,23254,2016,23254
75,Female,21636,2016,21636
76,Female,21833,2016,21833
77,Female,21118,2016,21118
78,Female,20348,2016,20348
79,Female,19396,2016,19396
80,Female,18453,2016,18453
81,Female,17214,2016,17214
82,Female,15965,2016,15965
83,Female,14544,2016,14544
84,Female,14041,2016,14041
85,Female,12678,2016,12678
86,Female,11277,2016,11277
87,Female,9897,2016,9897
88,Female,8421,2016,8421
89,Female,7418,2016,7418
90+,Female,29050,2016,29050
0,Male,28697,2016,28697
1,Male,29017,2016,29017
2,Male,29377,2016,29377
3,Male,29728,2016,29728
4,Male,30708,2016,30708
5,Male,31533,2016,31533
6,Male,29946,2016,29946
7,Male,30653,2016,30653
8,Male,30586,2016,30586
9,Male,29574,2016,29574
10,Male,28838,2016,28838
11,Male,28885,2016,28885
12,Male,28344,2016,28344
13,Male,27231,2016,27231
14,Male,27083,2016,27083
15,Male,28196,2016,28196
16,Male,29300,2016,29300
17,Male,30279,2016,30279
18,Male,31162,2016,31162
19,Male,33677,2016,33677
20,Male,34653,2016,34653
21,Male,35175,2016,35175
22,Male,36261,2016,36261
23,Male,36791,2016,36791
24,Male,38808,2016,38808
25,Male,39073,2016,39073
26,Male,37445,2016,37445
27,Male,37102,2016,37102
28,Male,36957,2016,36957
29,Male,35572,2016,35572
30,Male,35467,2016,35467
31,Male,34774,2016,34774
32,Male,33786,2016,33786
33,Male,34032,2016,34032
34,Male,34246,2016,34246
35,Male,34347,2016,34347
36,Male,33701,2016,33701
37,Male,32926,2016,32926
38,Male,30125,2016,30125
39,Male,30169,2016,30169
40,Male,31504,2016,31504
41,Male,31398,2016,31398
42,Male,32214,2016,32214
43,Male,34054,2016,34054
44,Male,35759,2016,35759
45,Male,36884,2016,36884
46,Male,36481,2016,36481
47,Male,37985,2016,37985
48,Male,38668,2016,38668
49,Male,39404,2016,39404
50,Male,38795,2016,38795
51,Male,40421,2016,40421
52,Male,39547,2016,39547
53,Male,39588,2016,39588
54,Male,39078,2016,39078
55,Male,38031,2016,38031
56,Male,36862,2016,36862
57,Male,36217,2016,36217
58,Male,35210,2016,35210
59,Male,34417,2016,34417
60,Male,33311,2016,33311
61,Male,31726,2016,31726
62,Male,31363,2016,31363
63,Male,30581,2016,30581
64,Male,29425,2016,29425
65,Male,29569,2016,29569
66,Male,29668,2016,29668
67,Male,30193,2016,30193
68,Male,30916,2016,30916
69,Male,33121,2016,33121
70,Male,24797,2016,24797
71,Male,22863,2016,22863
72,Male,23308,2016,23308
73,Male,21528,2016,21528
74,Male,19373,2016,19373
75,Male,17496,2016,17496
76,Male,17603,2016,17603
77,Male,16869,2016,16869
78,Male,16115,2016,16115
79,Male,14432,2016,14432
80,Male,13546,2016,13546
81,Male,12469,2016,12469
82,Male,11120,2016,11120
83,Male,9975,2016,9975
84,Male,9091,2016,9091
85,Male,7894,2016,7894
86,Male,6573,2016,6573
87,Male,5635,2016,5635
88,Male,4454,2016,4454
89,Male,3731,2016,3731
90+,Male,12017,2016,12017
0,Female,26819,2017,25883
1,Female,27567,2017,26803
2,Female,27788,2017,27562
3,Female,28504,2017,27786
4,Female,29033,2017,28502
5,Female,30162,2017,29031
6,Female,28855,2017,30160
7,Female,29683,2017,28854
8,Female,29598,2017,29682
9,Female,28272,2017,29597
10,Female,27796,2017,28271
11,Female,27257,2017,27795
12,Female,26739,2017,27255
13,Female,26167,2017,26737
14,Female,26038,2017,26164
15,Female,27243,2017,26035
16,Female,27563,2017,27239
17,Female,28702,2017,27558
18,Female,29789,2017,28696
19,Female,32749,2017,29783
20,Female,33871,2017,32741
21,Female,34923,2017,33863
22,Female,36314,2017,34914
23,Female,37631,2017,36305
24,Female,39540,2017,37621
25,Female,38982,2017,39529
26,Female,37498,2017,38970
27,Female,37318,2017,37485
28,Female,37556,2017,37304
29,Female,36621,2017,37540
30,Female,36099,2017,36603
31,Female,36312,2017,36079
32,Female,35089,2017,36290
33,Female,35723,2017,35066
34,Female,36385,2017,35698
35,Female,35753,2017,36357
36,Female,34995,2017,35724
37,Female,33471,2017,34964
38,Female,31663,2017,33439
39,Female,30603,2017,31630
40,Female,32622,2017,30569
41,Female,33160,2017,32583
42,Female,33272,2017,33117
43,Female,35532,2017,33225
44,Female,38123,2017,35478
45,Female,39905,2017,38060
46,Female,39222,2017,39834
