Area,Average Household Size,Number of Records,Year
Scotland,2.27,1,2001
Scotland,2.25,1,2002
Scotland,2.23,1,2003
Scotland,2.22,1,2004
Scotland,2.21,1,2005
Scotland,2.20,1,2006
Scotland,2.19,1,2007
Scotland,2.18,1,2008
Scotland,2.18,1,2009
Scotland,2.18,1,2010
Scotland,2.19,1,2011
Scotland,2.18,1,2012
Scotland,2.18,1,2013
Scotland,2.17,1,2014
Scotland,2.17,1,2015
Scotland,2.17,1,2016
Scotland,2.16,1,2017
Western Isles,2.32,1,2001
Western Isles,2.31,1,2002
Western Isles,2.29,1,2003
Western Isles,2.29,1,2004
Western Isles,2.29,1,2005
Western Isles,2.27,1,2006
Western Isles,2.25,1,2007
Western Isles,2.23,1,2008
Western Isles,2.22,1,2009
Western Isles,2.20,1,2010
Western Isles,2.17,1,2011
Western Isles,2.13,1,2012
Western Isles,2.09,1,2013
Western Isles,2.08,1,2014
Western Isles,2.06,1,2015
Western Isles,2.05,1,2016
Western Isles,2.08,1,2017
