Year,Gender,Age_Bands,Population
2001,Female,0 - 4,112
2001,Female,10 - 14,187
2001,Female,15 - 19,136
2001,Female,20 - 24,94
2001,Female,25 - 29,114
2001,Female,30 - 34,164
2001,Female,35 - 39,163
2001,Female,40 - 44,169
2001,Female,45 - 49,170
2001,Female,5 - 9,144
2001,Female,50 - 54,163
2001,Female,55 - 59,141
2001,Female,60 - 64,156
2001,Female,65 - 69,129
2001,Female,70 - 74,109
2001,Female,75 - 79,100
2001,Female,80 - 84,68
2001,Female,85 - 89,34
2001,Female,90+,21
2001,Male,0 - 4,132
2001,Male,10 - 14,208
2001,Male,15 - 19,145
2001,Male,20 - 24,102
2001,Male,25 - 29,123
2001,Male,30 - 34,158
2001,Male,35 - 39,182
2001,Male,40 - 44,214
2001,Male,45 - 49,190
2001,Male,5 - 9,152
2001,Male,50 - 54,221
2001,Male,55 - 59,172
2001,Male,60 - 64,153
2001,Male,65 - 69,120
2001,Male,70 - 74,81
2001,Male,75 - 79,62
2001,Male,80 - 84,38
2001,Male,85 - 89,16
2001,Male,90+,11
2009,Female,0 - 4,121
2009,Female,10 - 14,135
2009,Female,15 - 19,124
2009,Female,20 - 24,84
2009,Female,25 - 29,96
2009,Female,30 - 34,126
2009,Female,35 - 39,140
2009,Female,40 - 44,206
2009,Female,45 - 49,177
2009,Female,5 - 9,136
2009,Female,50 - 54,191
2009,Female,55 - 59,192
2009,Female,60 - 64,160
2009,Female,65 - 69,143
2009,Female,70 - 74,124
2009,Female,75 - 79,109
2009,Female,80 - 84,76
2009,Female,85 - 89,54
2009,Female,90+,23
2009,Male,0 - 4,113
2009,Male,10 - 14,175
2009,Male,15 - 19,148
2009,Male,20 - 24,124
2009,Male,25 - 29,94
2009,Male,30 - 34,98
2009,Male,35 - 39,151
2009,Male,40 - 44,183
2009,Male,45 - 49,207
2009,Male,5 - 9,126
2009,Male,50 - 54,202
2009,Male,55 - 59,197
2009,Male,60 - 64,220
2009,Male,65 - 69,142
2009,Male,70 - 74,114
2009,Male,75 - 79,85
2009,Male,80 - 84,52
2009,Male,85 - 89,20
2009,Male,90+,5
