Age,Age_Bands,Area,Gender,Population
0,0 - 4,Aberdeen City,Male,1295
0,0 - 4,Aberdeenshire,Male,1524
0,0 - 4,Angus,Male,555
0,0 - 4,Argyll and Bute,Male,355
0,0 - 4,City of Edinburgh,Male,2731
0,0 - 4,Clackmannanshire,Male,294
0,0 - 4,Dumfries and Galloway,Male,663
0,0 - 4,Dundee City,Male,799
0,0 - 4,East Ayrshire,Male,684
0,0 - 4,East Dunbartonshire,Male,523
0,0 - 4,East Lothian,Male,572
0,0 - 4,East Renfrewshire,Male,454
0,0 - 4,Falkirk,Male,889
0,0 - 4,Fife,Male,1893
0,0 - 4,Glasgow City,Male,3535
0,0 - 4,Highland,Male,1183
0,0 - 4,Inverclyde,Male,370
0,0 - 4,Midlothian,Male,581
0,0 - 4,Moray,Male,510
0,0 - 4,Na h-Eileanan Siar,Male,124
0,0 - 4,North Ayrshire,Male,699
0,0 - 4,North Lanarkshire,Male,1937
0,0 - 4,Orkney Islands,Male,80
0,0 - 4,Perth and Kinross,Male,702
0,0 - 4,Renfrewshire,Male,905
0,0 - 4,Scottish Borders,Male,542
0,0 - 4,Shetland Islands,Male,130
0,0 - 4,South Ayrshire,Male,525
0,0 - 4,South Lanarkshire,Male,1696
0,0 - 4,Stirling,Male,433
0,0 - 4,West Dunbartonshire,Male,486
0,0 - 4,West Lothian,Male,1028
0,0 - 4,Aberdeen City,Female,1238
0,0 - 4,Aberdeenshire,Female,1425
0,0 - 4,Angus,Female,500
0,0 - 4,Argyll and Bute,Female,358
0,0 - 4,City of Edinburgh,Female,2510
0,0 - 4,Clackmannanshire,Female,246
0,0 - 4,Dumfries and Galloway,Female,636
0,0 - 4,Dundee City,Female,729
0,0 - 4,East Ayrshire,Female,628
0,0 - 4,East Dunbartonshire,Female,485
0,0 - 4,East Lothian,Female,533
0,0 - 4,East Renfrewshire,Female,474
0,0 - 4,Falkirk,Female,717
0,0 - 4,Fife,Female,1844
0,0 - 4,Glasgow City,Female,3452
0,0 - 4,Highland,Female,1075
0,0 - 4,Inverclyde,Female,327
0,0 - 4,Midlothian,Female,525
0,0 - 4,Moray,Female,449
0,0 - 4,Na h-Eileanan Siar,Female,105
0,0 - 4,North Ayrshire,Female,609
0,0 - 4,North Lanarkshire,Female,1787
0,0 - 4,Orkney Islands,Female,89
0,0 - 4,Perth and Kinross,Female,650
0,0 - 4,Renfrewshire,Female,869
0,0 - 4,Scottish Borders,Female,535
0,0 - 4,Shetland Islands,Female,127
0,0 - 4,South Ayrshire,Female,502
0,0 - 4,South Lanarkshire,Female,1540
0,0 - 4,Stirling,Female,417
0,0 - 4,West Dunbartonshire,Female,487
0,0 - 4,West Lothian,Female,951
1,0 - 4,Aberdeen City,Male,1254
1,0 - 4,Aberdeenshire,Male,1481
1,0 - 4,Angus,Male,619
1,0 - 4,Argyll and Bute,Male,370
1,0 - 4,City of Edinburgh,Male,2754
1,0 - 4,Clackmannanshire,Male,297
1,0 - 4,Dumfries and Galloway,Male,662
1,0 - 4,Dundee City,Male,799
1,0 - 4,East Ayrshire,Male,710
1,0 - 4,East Dunbartonshire,Male,515
1,0 - 4,East Lothian,Male,535
1,0 - 4,East Renfrewshire,Male,510
1,0 - 4,Falkirk,Male,894
1,0 - 4,Fife,Male,1996
1,0 - 4,Glasgow City,Male,3627
1,0 - 4,Highland,Male,1182
1,0 - 4,Inverclyde,Male,384
1,0 - 4,Midlothian,Male,589
1,0 - 4,Moray,Male,472
1,0 - 4,Na h-Eileanan Siar,Male,107
1,0 - 4,North Ayrshire,Male,687
1,0 - 4,North Lanarkshire,Male,1905
1,0 - 4,Orkney Islands,Male,112
1,0 - 4,Perth and Kinross,Male,757
1,0 - 4,Renfrewshire,Male,911
1,0 - 4,Scottish Borders,Male,501
1,0 - 4,Shetland Islands,Male,112
1,0 - 4,South Ayrshire,Male,526
1,0 - 4,South Lanarkshire,Male,1748
1,0 - 4,Stirling,Male,421
1,0 - 4,West Dunbartonshire,Male,476
1,0 - 4,West Lothian,Male,1104
1,0 - 4,Aberdeen City,Female,1200
1,0 - 4,Aberdeenshire,Female,1428
1,0 - 4,Angus,Female,500
1,0 - 4,Argyll and Bute,Female,379
1,0 - 4,City of Edinburgh,Female,2552
1,0 - 4,Clackmannanshire,Female,268
1,0 - 4,Dumfries and Galloway,Female,644
1,0 - 4,Dundee City,Female,807
1,0 - 4,East Ayrshire,Female,628
1,0 - 4,East Dunbartonshire,Female,547
1,0 - 4,East Lothian,Female,560
1,0 - 4,East Renfrewshire,Female,439
1,0 - 4,Falkirk,Female,803
1,0 - 4,Fife,Female,1966
1,0 - 4,Glasgow City,Female,3432
1,0 - 4,Highland,Female,1155
1,0 - 4,Inverclyde,Female,369
1,0 - 4,Midlothian,Female,538
1,0 - 4,Moray,Female,431
1,0 - 4,Na h-Eileanan Siar,Female,113
1,0 - 4,North Ayrshire,Female,626
1,0 - 4,North Lanarkshire,Female,1850
1,0 - 4,Orkney Islands,Female,92
1,0 - 4,Perth and Kinross,Female,694
1,0 - 4,Renfrewshire,Female,841
1,0 - 4,Scottish Borders,Female,552
1,0 - 4,Shetland Islands,Female,125
1,0 - 4,South Ayrshire,Female,532
1,0 - 4,South Lanarkshire,Female,1663
1,0 - 4,Stirling,Female,420
1,0 - 4,West Dunbartonshire,Female,450
1,0 - 4,West Lothian,Female,963
2,0 - 4,Aberdeen City,Male,1245
2,0 - 4,Aberdeenshire,Male,1516
2,0 - 4,Angus,Male,631
2,0 - 4,Argyll and Bute,Male,384
2,0 - 4,City of Edinburgh,Male,2716
2,0 - 4,Clackmannanshire,Male,277
2,0 - 4,Dumfries and Galloway,Male,722
2,0 - 4,Dundee City,Male,765
2,0 - 4,East Ayrshire,Male,634
2,0 - 4,East Dunbartonshire,Male,569
2,0 - 4,East Lothian,Male,589
2,0 - 4,East Renfrewshire,Male,560
2,0 - 4,Falkirk,Male,873
2,0 - 4,Fife,Male,2063
2,0 - 4,Glasgow City,Male,3562
2,0 - 4,Highland,Male,1185
2,0 - 4,Inverclyde,Male,413
2,0 - 4,Midlothian,Male,569
2,0 - 4,Moray,Male,489
2,0 - 4,Na h-Eileanan Siar,Male,138
2,0 - 4,North Ayrshire,Male,686
2,0 - 4,North Lanarkshire,Male,1916
2,0 - 4,Orkney Islands,Male,104
2,0 - 4,Perth and Kinross,Male,766
2,0 - 4,Renfrewshire,Male,949
2,0 - 4,Scottish Borders,Male,613
2,0 - 4,Shetland Islands,Male,123
2,0 - 4,South Ayrshire,Male,534
2,0 - 4,South Lanarkshire,Male,1722
2,0 - 4,Stirling,Male,456
2,0 - 4,West Dunbartonshire,Male,479
2,0 - 4,West Lothian,Male,1129
2,0 - 4,Aberdeen City,Female,1163
2,0 - 4,Aberdeenshire,Female,1496
2,0 - 4,Angus,Female,585
2,0 - 4,Argyll and Bute,Female,394
2,0 - 4,City of Edinburgh,Female,2654
2,0 - 4,Clackmannanshire,Female,245
2,0 - 4,Dumfries and Galloway,Female,629
2,0 - 4,Dundee City,Female,731
2,0 - 4,East Ayrshire,Female,612
2,0 - 4,East Dunbartonshire,Female,578
2,0 - 4,East Lothian,Female,551
2,0 - 4,East Renfrewshire,Female,509
2,0 - 4,Falkirk,Female,854
2,0 - 4,Fife,Female,1881
2,0 - 4,Glasgow City,Female,3387
2,0 - 4,Highland,Female,1087
2,0 - 4,Inverclyde,Female,368
2,0 - 4,Midlothian,Female,578
2,0 - 4,Moray,Female,463
2,0 - 4,Na h-Eileanan Siar,Female,125
2,0 - 4,North Ayrshire,Female,676
2,0 - 4,North Lanarkshire,Female,1823
2,0 - 4,Orkney Islands,Female,81
2,0 - 4,Perth and Kinross,Female,628
2,0 - 4,Renfrewshire,Female,914
2,0 - 4,Scottish Borders,Female,585
2,0 - 4,Shetland Islands,Female,120
2,0 - 4,South Ayrshire,Female,473
2,0 - 4,South Lanarkshire,Female,1624
2,0 - 4,Stirling,Female,444
2,0 - 4,West Dunbartonshire,Female,487
2,0 - 4,West Lothian,Female,1043
3,0 - 4,Aberdeen City,Male,1208
3,0 - 4,Aberdeenshire,Male,1551
3,0 - 4,Angus,Male,587
3,0 - 4,Argyll and Bute,Male,400
3,0 - 4,City of Edinburgh,Male,2765
3,0 - 4,Clackmannanshire,Male,324
3,0 - 4,Dumfries and Galloway,Male,714
3,0 - 4,Dundee City,Male,839
3,0 - 4,East Ayrshire,Male,691
3,0 - 4,East Dunbartonshire,Male,558
3,0 - 4,East Lothian,Male,584
3,0 - 4,East Renfrewshire,Male,555
3,0 - 4,Falkirk,Male,909
3,0 - 4,Fife,Male,2079
3,0 - 4,Glasgow City,Male,3499
3,0 - 4,Highland,Male,1179
3,0 - 4,Inverclyde,Male,390
3,0 - 4,Midlothian,Male,527
3,0 - 4,Moray,Male,532
3,0 - 4,Na h-Eileanan Siar,Male,121
3,0 - 4,North Ayrshire,Male,677
3,0 - 4,North Lanarkshire,Male,1991
3,0 - 4,Orkney Islands,Male,122
3,0 - 4,Perth and Kinross,Male,738
3,0 - 4,Renfrewshire,Male,1014
3,0 - 4,Scottish Borders,Male,626
3,0 - 4,Shetland Islands,Male,143
